Experiment,Vertexes,Density,Time(mcs)
705,200,0.35,413642.41
706,200,0.35,414673.57
707,200,0.35,412549.97
708,200,0.35,425810.34
709,200,0.35,415724.04
710,200,0.35,416549.68
711,200,0.35,413838.39
712,200,0.35,418843.98
713,200,0.35,418509.01
714,200,0.35,413431.41
715,200,0.35,419469.36
716,200,0.35,413707.26
717,200,0.35,425282.72
718,200,0.35,404916.05
719,200,0.35,413061.86
720,200,0.35,402796.03
721,200,0.4,413567.54
722,200,0.4,425957.2
723,200,0.4,403574.47
724,200,0.4,418938.4
725,200,0.4,413358.93
726,200,0.4,432251.93
727,200,0.4,416142.7
728,200,0.4,418380.5
729,200,0.4,420271.64
730,200,0.4,416282.65
731,200,0.4,416604.52
732,200,0.4,417158.37
733,200,0.4,418023.11
734,200,0.4,406613.35
735,200,0.4,456774.23
736,200,0.4,440522.67
737,200,0.4,437885.76
738,200,0.4,428838.97
739,200,0.4,415051.22
740,200,0.4,420990.23
741,200,0.45,408631.8
742,200,0.45,411938.43
743,200,0.45,462357.04
744,200,0.45,480996.85
745,200,0.45,438013.32
746,200,0.45,418336.15
747,200,0.45,478055.95
748,200,0.45,446478.13
749,200,0.45,457248.93
750,200,0.45,462870.36
751,200,0.45,431248.66
752,200,0.45,436036.35
753,200,0.45,476114.51
754,200,0.45,469270.94
755,200,0.45,425816.3
756,200,0.45,422255.52
757,200,0.45,515508.41
758,200,0.45,586375.95
759,200,0.45,519779.68
760,200,0.45,465696.57
761,200,0.5,434094.91
762,200,0.5,479106.66
763,200,0.5,488877.53
764,200,0.5,474204.54
765,200,0.5,426424.5
766,200,0.5,413324.12
767,200,0.5,401893.85
768,200,0.5,415955.54
769,200,0.5,420181.51
770,200,0.5,425005.91
771,200,0.5,423470.97
772,200,0.5,432364.7
773,200,0.5,438177.11
774,200,0.5,417453.05
775,200,0.5,416612.15
776,200,0.5,417747.5
777,200,0.5,416828.87
778,200,0.5,422714.23
779,200,0.5,418684.24
780,200,0.5,424919.13
